School ,Hearing Rhymes  Q2,Creating Rhymes  Q2, Initial Sound Q2, LN  Q2, LS Q2, SWA  Q2, SWB  Q2,F&P Q2
2,10,10,10,52,26,16,16,4
2,10,10,10,52,26,16,16,4
2,10,10,10,43,20,12,5,2
2,10,10,7,29,17,11,0,2
2,10,10,10,52,26,16,16,3
2,5,0,10,50,23,8,2,1
2,8,2,8,52,26,13,1,2
2,10,8,10,52,26,16,7,3
2,10,5,10,37,21,1,0,1
2,10,10,10,52,26,16,5,3
2,10,2,8,49,24,13,2,2
2,10,10,10,52,26,16,9,4
2,10,10,10,52,26,16,16,9
2,10,8,10,52,23,16,14,3
2,9,1,9,51,24,16,2,1
2,10,10,10,52,26,16,16,8
2,10,2,9,52,23,16,16,3
2,7,0,4,33,18,9,1,0
2,10,10,10,52,26,16,10,4
2,10,10,10,52,26,16,10,3
2,10,10,10,52,26,16,16,5
2,7,0,0,3,0,0,0,1
2,10,9,10,50,24,16,16,3
2,10,10,10,52,26,16,5,2
2,9,0,10,45,20,10,0,2
2,10,10,10,52,24,16,4,3
2,10,10,10,52,26,16,10,3
2,0,0,2,12,8,2,0,3
2,10,10,10,52,26,16,15,5
2,9,8,9,52,25,14,2,2
2,10,10,10,38,22,6,0,2
3,6,0,10,52,26,14,9,2
3,5,0,10,52,26,3,1,2
3,10,10,10,52,26,9,3,2
3,7,0,10,34,19,4,1,1
3,6,0,3,20,11,0,0,0
3,5,0,10,48,24,8,0,1
3,3,0,10,52,24,4,0,1
3,10,8,10,39,15,4,0,0
3,5,0,6,52,25,12,1,1
3,9,10,10,52,26,16,16,5
3,10,10,10,52,26,13,7,2
3,8,1,10,52,23,11,5,2
3,9,1,10,47,26,4,1,2
3,7,0,10,30,11,2,0,1
3,8,10,8,28,4,3,0,1
3,6,0,5,36,17,4,1,1
3,6,0,10,52,23,10,1,2
3,10,4,10,52,23,10,1,2
3,10,0,0,35,14,5,0,1
3,10,10,10,52,26,16,13,4
3,5,0,7,22,11,0,0,0
3,5,1,10,52,26,8,0,1
3,5,0,10,30,8,4,0,2
3,10,10,10,52,26,16,16,5
3,7,0,10,52,26,7,1,2
3,10,0,9,52,26,9,0,1
3,10,10,10,52,25,6,0,0
3,9,10,10,52,26,8,0,1
3,10,9,10,15,3,4,0,1
3,9,9,10,52,20,7,0,2
3,10,7,10,45,23,3,0,1
3,9,0,7,52,26,0,0,0
3,6,0,10,47,20,5,0,1
3,7,9,5,50,25,1,0,1
3,10,10,10,52,26,14,13,3
3,6,0,10,52,26,9,3,2
3,9,10,10,52,26,16,16,6
3,10,10,10,52,25,16,16,3
3,10,8,10,52,26,10,1,2
3,10,10,10,52,26,16,16,5
3,6,0,10,52,26,7,0,1
3,6,0,0,15,3,0,0,0
3,9,9,10,52,26,4,0,2
3,4,0,10,51,24,7,0,1
3,10,10,10,52,26,6,2,2
3,9,6,2,14,3,2,0,0
3,8,0,0,7,1,0,0,1
3,10,6,6,21,6,3,0,0
3,10,10,10,52,26,4,1,2
3,10,10,10,52,26,16,14,4
3,8,0,8,52,26,1,0,2
3,4,0,0,34,4,1,0,0
3,9,9,10,52,26,11,4,2
3,9,0,10,52,26,10,6,3
3,8,6,10,52,26,4,0,2
3,7,3,10,43,23,4,0,0
3,0,0,0,6,0,0,0,1
3,9,8,10,52,26,14,0,2
3,10,10,10,52,26,15,7,2
3,4,0,2,44,19,7,0,1
3,10,4,10,52,26,14,13,3
3,10,10,10,52,26,11,0,1
3,4,0,8,46,16,4,0,1
3,10,9,10,52,25,7,5,2
3,8,10,10,51,25,14,4,2
3,5,0,3,41,16,8,0,1
3,10,9,10,52,26,14,5,2
3,6,0,10,52,26,14,3,2
4,10,10,10,47,25,16,4,2
4,10,8,10,42,23,10,2,1
4,8,0,10,48,26,10,4,2
4,10,0,10,50,24,16,6,2
4,3,0,0,10,0,2,0,0
4,6,9,10,49,25,16,5,2
4,10,10,10,48,24,15,3,2
4,10,10,10,51,22,15,4,2
4,10,10,10,52,24,15,5,2
,,,,,,,,1
4,6,0,10,49,25,15,2,2
4,6,0,0,13,1,1,0,0
4,10,10,10,42,23,10,3,2
4,10,10,2,51,26,14,5,2
4,10,0,10,50,26,14,3,2
4,10,10,10,47,24,14,5,2
4,0,0,1,34,15,1,0,0
4,10,10,10,46,19,11,,2
4,5,0,10,43,21,11,3,2
4,5,0,10,21,19,6,5,2
4,10,10,10,43,17,11,2,2
4,10,9,10,52,25,15,9,3
4,10,10,10,51,25,15,6,3
4,5,0,10,42,25,15,3,2
4,8,10,10,26,21,0,0,1
4,10,10,10,52,24,14,4,2
4,10,0,10,49,26,16,9,2
4,10,9,10,50,25,15,,2
4,10,0,0,29,14,5,0,0
4,5,0,8,46,26,14,2,1
4,9,1,10,38,20,15,3,2
4,10,10,10,49,23,16,4,2
4,10,10,10,51,24,12,4,2
4,8,0,10,48,25,14,7,2
4,5,0,10,47,25,15,4,2
4,8,0,10,40,25,16,4,2
4,10,10,10,23,14,12,1,1
4,9,10,10,46,23,16,9,2
4,10,10,10,52,25,16,15,4
4,10,10,10,51,26,16,7,2
4,10,10,10,51,26,15,8,2
4,10,10,10,30,19,5,1,0
5,8,0,9,9,14,1,0,0
5,9,1,10,49,10,5,5,0
5,10,8,10,37,24,6,1,2
5,8,0,10,10,10,10,5,2
5,10,7,9,10,20,13,11,2
5,0,8,10,50,21,10,12,2
5,10,0,10,47,24,9,11,2
5,8,9,10,47,22,14,10,2
5,7,7,10,50,18,8,3,0
5,8,8,10,25,21,10,6,2
5,5,5,9,51,22,15,14,1
5,7,8,10,49,22,10,13,3
5,7,0,7,41,19,1,2,0
5,10,4,10,10,24,10,10,2
5,9,8,10,48,17,15,11,2
5,10,10,10,49,24,12,10,2
5,7,0,10,3,0,1,0,0
5,10,10,10,10,10,10,10,6
5,9,8,10,14,0,1,0,0
5,9,7,10,19,18,5,1,0
5,5,0,5,46,18,1,2,0
5,10,5,10,10,20,,,2
5,10,10,10,10,24,9,7,2
5,9,9,10,10,19,10,11,2
5,0,0,0,46,1,0,0,0
5,6,0,10,23,20,7,3,0
5,6,1,1,17,3,3,0,0
5,8,7,10,10,22,9,7,2
5,10,5,10,51,21,15,9,2
5,8,8,2,43,22,5,3,0
5,7,5,10,50,14,7,5,0
5,0,0,0,0,0,0,0,0
5,9,0,0,40,14,10,2,0
5,10,10,10,10,10,10,10,5
5,8,0,10,10,25,10,14,2
5,9,10,10,46,10,14,14,3
5,10,7,10,10,25,10,11,2
5,10,10,10,49,22,10,13,2
5,10,9,10,10,21,12,9,2
5,9,8,7,10,23,6,1,1
5,6,9,10,10,21,14,14,2
5,8,10,5,27,13,5,3,0
5,10,9,10,10,22,10,15,3
5,9,2,10,10,10,5,3,1
5,7,10,10,48,25,13,7,2
5,10,1,8,35,20,12,6,1
5,0,0,0,10,0,2,3,0
5,10,8,10,10,10,10,10,2
5,10,10,9,10,19,10,10,5
5,4,0,4,38,24,7,4,1
5,6,7,5,40,15,4,0,0
5,9,3,8,6,0,3,2,0
5,10,0,6,49,22,2,0,0
5,0,0,0,10,5,0,0,0
5,10,10,10,10,23,15,10,3
5,5,0,10,41,6,4,5,0
5,6,1,10,48,22,12,8,1
5,4,0,10,39,14,4,3,0
5,10,10,10,10,23,10,4,0
5,0,0,0,9,2,0,0,0
5,6,0,0,12,3,0,0,0
5,6,0,1,46,16,9,2,1
5,4,0,0,44,0,4,1,2
5,10,8,10,51,20,15,9,2
5,6,5,10,10,24,11,3,0
5,6,10,10,51,23,10,11,2
5,5,7,9,44,24,3,6,0
5,3,0,9,51,22,12,4,2
5,10,8,10,50,10,15,11,2
5,5,0,1,30,2,3,2,0
5,3,0,8,36,7,7,4,0
5,10,10,10,10,22,15,13,2
5,8,0,10,44,14,6,1,0
5,10,0,10,51,24,11,4,2
5,9,0,8,45,24,7,3,0
